Seat No,Gender,DOB,Attempt,city,State,Category,Phy,Chem,Bio,Total,Year
NEET2026100897,Female,23/06/2004,4,Ratnagiri,Maharashtra,EWS,93,164,228,485,2023
NEET2025100898,Female,07/04/2008,2,Pune,Maharashtra,ST,103,146,237,486,2024
NEET2024100899,Male,05/01/2002,4,Kolkata,West Bengal,General,140,147,256,543,2024
NEET2024100900,Female,08/10/2001,4,Aurangabad,Maharashtra,EWS,167,104,94,365,2023
NEET2026100901,Female,19/02/2004,2,Pune,Maharashtra,SC,56,159,226,441,2024
NEET2026100902,Female,03/09/2005,3,Mumbai,Maharashtra,ST,148,36,97,281,2024
NEET2024100903,Female,12/06/2004,4,Mumbai,Maharashtra,ST,32,94,118,244,2026
NEET2024100904,Female,06/10/2000,3,Pune,Maharashtra,OBC,170,92,284,546,2024
NEET2023100905,Female,14/03/2000,2,Ratnagiri,Maharashtra,General,55,75,210,340,2023
NEET2024100906,Male,06/08/2007,1,Aurangabad,Maharashtra,EWS,69,142,243,454,2024
NEET2026100907,Female,15/12/2004,4,Bengaluru,Karnataka,General,42,163,112,317,2023
NEET2025100908,Male,18/07/2000,2,Hyderabad,Telangana,General,126,81,187,394,2023
NEET2023100909,Male,23/09/2004,1,Mumbai,Maharashtra,OBC,33,116,158,307,2024
NEET2025100910,Male,29/06/2000,2,Thane,Maharashtra,EWS,161,57,227,445,2026
NEET2025100911,Female,18/10/2004,2,Pune,Maharashtra,General,89,84,114,287,2026
NEET2026100912,Male,02/05/2007,1,Kolhapur,Maharashtra,SC,33,129,168,330,2025
NEET2026100913,Male,28/06/2000,2,Pune,Maharashtra,SC,85,135,214,434,2023
NEET2024100914,Female,23/09/2006,4,Kolhapur,Maharashtra,General,129,64,230,423,2025
NEET2024100915,Male,13/03/2000,2,Ratnagiri,Maharashtra,General,179,144,255,578,2023
NEET2023100916,Male,19/06/2003,3,Nashik,Maharashtra,ST,139,92,100,331,2025
NEET2024100917,Female,07/04/2002,3,Nagpur,Maharashtra,OBC,126,82,79,287,2025
NEET2025100918,Male,24/07/2003,2,Delhi,Delhi,SC,40,163,272,475,2025
NEET2024100919,Female,19/09/2002,3,Nashik,Maharashtra,OBC,168,43,187,398,2026
NEET2024100920,Male,23/01/2007,2,Mumbai,Maharashtra,OBC,46,155,95,296,2024
NEET2023100921,Female,10/01/2001,4,Nagpur,Maharashtra,SC,170,82,180,432,2024
NEET2024100922,Female,03/02/2008,3,Nashik,Maharashtra,EWS,92,138,150,380,2026
NEET2025100923,Female,16/02/2007,4,Nashik,Maharashtra,OBC,99,153,100,352,2026
NEET2026100924,Male,12/12/2004,4,Thane,Maharashtra,ST,159,140,139,438,2023
NEET2024100925,Female,05/07/2008,4,Kolkata,West Bengal,ST,106,167,138,411,2025
NEET2023100926,Female,31/01/2005,2,Aurangabad,Maharashtra,ST,126,173,306,605,2024
NEET2025100927,Female,25/09/2001,4,Kolkata,West Bengal,ST,78,31,66,175,2026
NEET2023100928,Female,28/04/2008,1,Kolhapur,Maharashtra,General,128,155,217,500,2026
NEET2025100929,Female,05/05/2006,3,Nagpur,Maharashtra,General,79,141,190,410,2026
NEET2023100930,Female,02/10/2004,1,Bengaluru,Karnataka,OBC,93,92,304,489,2025
NEET2024100931,Male,15/10/2006,1,Solapur,Maharashtra,General,67,95,186,348,2026
NEET2024100932,Female,16/06/2004,2,Bengaluru,Karnataka,ST,180,50,325,555,2025
NEET2025100933,Female,04/10/2007,1,Aurangabad,Maharashtra,General,158,166,255,579,2025
NEET2023100934,Male,07/08/2001,4,Aurangabad,Maharashtra,General,83,131,217,431,2023
NEET2025100935,Female,13/10/2000,2,Hyderabad,Telangana,OBC,136,164,273,573,2025
NEET2024100936,Male,02/02/2002,4,Bengaluru,Karnataka,EWS,64,80,309,453,2024
NEET2025100937,Female,30/01/2002,4,Nashik,Maharashtra,EWS,45,76,158,279,2023
NEET2026100938,Male,19/02/2007,3,Nagpur,Maharashtra,General,50,105,103,258,2025
NEET2023100939,Male,01/05/2000,1,Ratnagiri,Maharashtra,SC,90,152,308,550,2023
NEET2023100940,Female,18/06/2007,3,Ratnagiri,Maharashtra,ST,40,54,168,262,2026
NEET2025100941,Female,27/06/2008,2,Kolhapur,Maharashtra,SC,139,116,249,504,2026
NEET2023100942,Male,30/03/2004,4,Ratnagiri,Maharashtra,ST,44,121,229,394,2024
NEET2024100943,Female,15/04/2000,4,Ratnagiri,Maharashtra,EWS,61,165,203,429,2026
NEET2023100944,Female,10/10/2005,1,Thane,Maharashtra,SC,78,30,224,332,2026
NEET2025100945,Female,14/08/2002,4,Ratnagiri,Maharashtra,General,154,132,101,387,2026
NEET2023100946,Male,18/04/2003,4,Ratnagiri,Maharashtra,General,79,66,326,471,2025
NEET2023100947,Female,19/07/2007,2,Sangli,Maharashtra,OBC,149,73,288,510,2024
NEET2023100948,Male,29/11/2001,3,Hyderabad,Telangana,ST,52,57,282,391,2025
NEET2024100949,Female,21/06/2002,1,Bengaluru,Karnataka,SC,95,151,123,369,2024
NEET2026100950,Female,17/06/2006,2,Hyderabad,Telangana,OBC,46,117,253,416,2025
NEET2025100951,Male,18/04/2001,1,Aurangabad,Maharashtra,EWS,52,58,105,215,2025
NEET2023100952,Female,05/06/2001,1,Chennai,Tamil Nadu,EWS,110,127,355,592,2024
NEET2024100953,Male,08/05/2004,4,Thane,Maharashtra,General,111,123,124,358,2026
NEET2026100954,Male,18/07/2003,3,Nagpur,Maharashtra,OBC,105,86,315,506,2023
NEET2025100955,Female,19/09/2006,2,Kolhapur,Maharashtra,ST,109,158,123,390,2025
NEET2024100956,Male,24/11/2007,1,Thane,Maharashtra,OBC,45,115,138,298,2026
NEET2026100957,Female,27/02/2008,4,Thane,Maharashtra,ST,106,70,71,247,2025
NEET2025100958,Female,30/06/2008,2,Thane,Maharashtra,EWS,130,48,330,508,2026
NEET2025100959,Female,02/02/2001,2,Nagpur,Maharashtra,EWS,112,178,87,377,2024
NEET2024100960,Male,14/12/2004,2,Bengaluru,Karnataka,General,153,104,134,391,2025
NEET2026100961,Female,21/02/2008,2,Chennai,Tamil Nadu,General,177,56,135,368,2023
NEET2025100962,Female,27/12/2003,2,Solapur,Maharashtra,ST,75,43,120,238,2024
NEET2025100963,Male,19/05/2000,4,Pune,Maharashtra,General,91,131,310,532,2026
NEET2023100964,Male,17/04/2007,1,Thane,Maharashtra,General,100,143,248,491,2023
NEET2026100965,Female,26/06/2005,1,Delhi,Delhi,EWS,160,87,71,318,2024
NEET2024100966,Male,21/04/2004,3,Solapur,Maharashtra,General,141,106,352,599,2024
NEET2026100967,Male,18/07/2004,1,Chennai,Tamil Nadu,OBC,35,130,344,509,2023
NEET2026100968,Female,10/01/2002,1,Chennai,Tamil Nadu,General,76,31,344,451,2024
NEET2025100969,Male,13/06/2006,1,Nashik,Maharashtra,General,71,52,347,470,2025
NEET2024100970,Female,29/01/2004,1,Sangli,Maharashtra,EWS,73,138,60,271,2025
NEET2026100971,Female,23/05/2007,3,Sangli,Maharashtra,EWS,143,65,355,563,2024
NEET2024100972,Male,18/09/2007,3,Pune,Maharashtra,OBC,41,90,78,209,2024
NEET2024100973,Female,02/10/2006,1,Sangli,Maharashtra,EWS,85,121,202,408,2025
NEET2023100974,Female,03/12/2002,4,Thane,Maharashtra,OBC,71,132,293,496,2024
NEET2024100975,Female,16/10/2000,2,Delhi,Delhi,SC,98,79,250,427,2026
NEET2023100976,Male,01/04/2004,4,Mumbai,Maharashtra,General,93,49,198,340,2025
NEET2024100977,Male,07/03/2007,3,Pune,Maharashtra,General,122,115,199,436,2023
NEET2024100978,Female,24/03/2004,4,Nashik,Maharashtra,General,126,56,123,305,2025
NEET2023100979,Male,09/11/2007,2,Ratnagiri,Maharashtra,SC,102,171,198,471,2026
NEET2026100980,Male,10/01/2002,3,Kolhapur,Maharashtra,General,166,171,266,603,2024
NEET2025100981,Male,17/05/2007,3,Nagpur,Maharashtra,OBC,66,126,350,542,2026
NEET2026100982,Female,04/12/2007,3,Solapur,Maharashtra,ST,76,142,241,459,2024
NEET2025100983,Male,04/06/2003,1,Delhi,Delhi,General,52,108,268,428,2024
NEET2025100984,Female,18/01/2001,1,Nagpur,Maharashtra,ST,177,44,103,324,2024
NEET2026100985,Male,18/05/2005,2,Solapur,Maharashtra,General,161,166,123,450,2026
NEET2023100986,Female,17/11/2007,2,Sangli,Maharashtra,EWS,118,92,330,540,2024
NEET2025100987,Male,17/12/2001,4,Pune,Maharashtra,ST,123,64,323,510,2026
NEET2023100988,Female,29/11/2001,3,Kolhapur,Maharashtra,ST,58,116,187,361,2025
NEET2024100989,Female,20/12/2002,1,Nashik,Maharashtra,ST,30,175,261,466,2026
NEET2025100990,Female,23/08/2000,1,Kolhapur,Maharashtra,General,31,147,228,406,2025
NEET2023100991,Female,07/02/2008,4,Nagpur,Maharashtra,OBC,132,120,64,316,2023
NEET2026100992,Male,07/12/2005,2,Sangli,Maharashtra,SC,69,135,123,327,2024
NEET2026100993,Male,11/04/2005,3,Thane,Maharashtra,General,125,106,246,477,2026
NEET2025100994,Female,12/05/2007,1,Chennai,Tamil Nadu,SC,142,71,131,344,2024
NEET2026100995,Female,29/03/2001,3,Nashik,Maharashtra,General,102,40,128,270,2024
NEET2026100996,Female,21/06/2007,4,Nashik,Maharashtra,OBC,152,98,120,370,2025
NEET2024100997,Male,03/06/2008,1,Hyderabad,Telangana,General,132,158,259,549,2024
NEET2023100998,Female,29/09/2001,4,Kolhapur,Maharashtra,EWS,158,33,181,372,2023
NEET2023100999,Female,14/11/2004,2,Solapur,Maharashtra,EWS,104,102,308,514,2024
NEET2023101000,Female,06/03/2008,2,Sangli,Maharashtra,ST,77,93,203,373,2024
